"","name","decimalLongitude","decimalLatitude"
"1","Neotoma micropus",-97.488,25.915
"17","Peromyscus attwateri",-99.224167,30.061683
"18","Peromyscus attwateri",-99.396483,30.043117
"19","Peromyscus attwateri",-99.396483,30.043117
"20","Peromyscus attwateri",-99.396483,30.043117
"21","Peromyscus attwateri",-99.274167,30.061683
"62","Sigmodon hispidus",-98.384463,26.183945
"63","Reithrodontomys fulvescens",-98.383197,26.18717
"64","Sigmodon hispidus",-98.383197,26.18717
"65","Sigmodon hispidus",-98.384463,26.183945
"66","Sigmodon hispidus",-98.381072,26.175289
"67","Sigmodon hispidus",-98.387327,26.171586
"68","Sigmodon hispidus",-98.384463,26.183945
"107","Neotoma micropus",-98.96568,26.47233
"182","Oryzomys couesi",-98.387327,26.171586
"183","Sigmodon hispidus",-98.383197,26.18717
"184","Sigmodon hispidus",-98.383883,26.16749
"185","Sigmodon hispidus",-98.384463,26.183945
"186","Sigmodon hispidus",-98.383626,26.186362
"187","Oryzomys couesi",-98.387327,26.171586
"188","Sigmodon hispidus",-98.387327,26.171586
"189","Oryzomys couesi",-98.383626,26.186362
"190","Baiomys taylori",-98.383197,26.18717
"191","Sigmodon hispidus",-98.383883,26.16749
"192","Sigmodon hispidus",-98.383197,26.18717
"193","Sigmodon hispidus",-98.382853,26.178929
"194","Sigmodon hispidus",-98.383926,26.184166
"195","Sigmodon hispidus",-98.384463,26.183945
"196","Sigmodon hispidus",-98.383883,26.16749
"197","Peromyscus leucopus",-98.382853,26.178929
"198","Peromyscus leucopus",-98.383883,26.16749
"199","Sigmodon hispidus",-98.387327,26.171586
"200","Neotoma micropus",-98.387327,26.171586
"201","Peromyscus leucopus",-98.384098,26.184128
"202","Peromyscus leucopus",-98.383883,26.16749
"203","Sigmodon hispidus",-98.383883,26.16749
"204","Sigmodon hispidus",-98.382853,26.178929
"205","Peromyscus leucopus",-98.380948,26.183658
"206","Sigmodon hispidus",-98.382853,26.178929
"207","Sigmodon hispidus",-98.387327,26.171586
"208","Sigmodon hispidus",-98.383197,26.18717
"209","Sigmodon hispidus",-98.382853,26.178929
"210","Sigmodon hispidus",-98.382853,26.178929
"241","Peromyscus leucopus",-98.65605,27.59304
"373","Baiomys taylori",-97,30
"374","Reithrodontomys fulvescens",-97,30
"428","Peromyscus leucopus",-97,30
"435","Reithrodontomys fulvescens",-97,30
"487","Reithrodontomys fulvescens",-97,30
"1178","Peromyscus maniculatus",-97,30
"1180","Sigmodon hispidus",-98.499172,29.444858
"1506","Peromyscus pectoralis",-99.555,29.788561
"1518","Peromyscus maniculatus",-99.555,29.80308
"1546","Sigmodon hispidus",-99.555,29.788561
"1548","Sigmodon hispidus",-99.555,29.788561
"1595","Baiomys taylori",-99.555,29.80308
"1637","Peromyscus attwateri",-99.479958,30.194389
"1645","Peromyscus attwateri",-99.479958,30.194389
"1647","Peromyscus attwateri",-99.479958,30.194389
"1671","Peromyscus attwateri",-99.479958,30.194389
"1735","Peromyscus attwateri",-99.479958,30.194389
"1737","Peromyscus attwateri",-99.479958,30.194389
"1752","Peromyscus attwateri",-99.479958,30.194389
"1754","Peromyscus attwateri",-99.479958,30.194389
"1756","Peromyscus attwateri",-99.479958,30.194389
"1772","Peromyscus attwateri",-99.479958,30.194389
"1774","Peromyscus attwateri",-99.479958,30.194389
"1775","Peromyscus attwateri",-99.479958,30.194389
"1780","Peromyscus attwateri",-99.479958,30.194389
"1783","Peromyscus attwateri",-99.479958,30.194389
"1786","Neotoma albigula",-99.479958,30.194389
"1797","Sigmodon hispidus",-99.410316,28.343971
"1799","Neotoma micropus",-99.353912,28.341881
"1800","Sigmodon hispidus",-99.353912,28.341881
"1801","Sigmodon hispidus",-99.353912,28.341881
"1810","Sigmodon hispidus",-99.410316,28.343971
"1811","Sigmodon hispidus",-99.353912,28.341881
"1813","Sigmodon hispidus",-99.353912,28.341881
"1814","Sigmodon hispidus",-99.353912,28.341881
"1818","Sigmodon hispidus",-99.410316,28.343971
"1820","Sigmodon hispidus",-99.410316,28.343971
"1821","Sigmodon hispidus",-99.353912,28.341881
"1822","Neotoma micropus",-99.410316,28.343971
"1830","Sigmodon hispidus",-99.353912,28.341881
"1838","Sigmodon hispidus",-99.410316,28.343971
"1839","Neotoma micropus",-99.410316,28.343971
"1840","Sigmodon hispidus",-99.410316,28.343971
"1841","Peromyscus leucopus",-99.410316,28.343971
"1842","Neotoma micropus",-99.410316,28.343971
"1847","Neotoma micropus",-99.410316,28.343971
